Component Type,Component Name,File Path
Concise Arrow Function Component,ErrorView,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\arrow-function-expr-gating-test.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\codegen-instrument-forget-gating-test.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\codegen-instrument-forget-test.js
Arrow Function Component,getJSX,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\const-propagation-into-function-expression-global.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\error.invalid-pass-hook-as-prop.js
Concise Arrow Function Component,ErrorView,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\error._todo.multi-arrow-expr-export-default-gating-test.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\gating-test-export-default-function.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\gating-test-export-function-and-default.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\gating-test-export-function.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\gating-test.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\jsx-namespaced-name.js
Concise Arrow Function Component,ErrorView,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\multi-arrow-expr-export-gating-test.js
Concise Arrow Function Component,ErrorView,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\crates\react_hermes_parser\tests\fixtures\multi-arrow-expr-gating-test.js
Class Component,ClassComponentWithFeatureFlag,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\scripts\eslint-plugin-react-hooks-test-cases.js
Class Component,ClassComponentWithHook,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\scripts\eslint-plugin-react-hooks-test-cases.js
Concise Arrow Function Component,getDiv,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\e2e\constant-prop.e2e.js
Concise Arrow Function Component,getDiv,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\e2e\constant-prop.e2e.js
Concise Arrow Function Component,ErrorView,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\arrow-function-expr-gating-test.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\codegen-instrument-forget-gating-test.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\codegen-instrument-forget-test.js
Arrow Function Component,getJSX,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\const-propagation-into-function-expression-global.js
Function Component,Foo_withRef,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\error.gating-hoisting.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\error.invalid-pass-hook-as-prop.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\error.invalid-type-provider-hooklike-module-default-not-hook.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\error.invalid-type-provider-nonhook-name-typed-as-hook.js
Function Component,Haunted,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\error.invalid-unclosed-eslint-suppression.js
Concise Arrow Function Component,renderIcon,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\error.mutate-function-property.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\error.todo-hoisted-function-in-unreachable-code.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\gating-test-export-default-function.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\gating-test-export-function-and-default.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\gating-test-export-function.js
Function Component,NoForget,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\gating-test.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\infer-dont-compile-components-with-multiple-params.js
Function Component,ComponentName,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\infer-function-expression-component.js
Function Component,notNamedLikeAComponent,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\infer-function-expression-React-memo-gating.js
Function Component,Component,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\infer-functions-component-with-jsx.js
Function Component,Foo,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\infer-functions-component-with-ref-arg.js
Function Component,useDiv,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\infer-functions-hook-with-jsx.js
Function Component,helper,C:\Users\Francesco\PycharmProjects\FSS Software Evolution\FSS Software Evolution\react\compiler\packages\babel-plugin-react-compiler\src\__tests__\fixtures\compiler\infer-no-component-nested-jsx.js
